Type	MGI ID	Symbol	Name	Chr	Start	End	Build	Strand	Best Match Type	Best Match
protein coding gene	MGI:87937	Adrb1	adrenergic receptor, beta 1	19	56710549	56713582	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1915975	1110032F04Rik	RIKEN cDNA 1110032F04 gene	3	68776919	68779496	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:3698433	1190007I07Rik	RIKEN cDNA 1190007I07 gene	10	82455685	82459062	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1919494	1600014C10Rik	RIKEN cDNA 1600014C10 gene	7	37882642	37896992	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1920699	1700066B19Rik	RIKEN cDNA 1700066B19 gene	18	35859895	35863922	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1914608	1700093K21Rik	RIKEN cDNA 1700093K21 gene	11	23466203	23471155	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1914954	1810037I17Rik	RIKEN cDNA 1810037I17 gene	3	122718046	122719843	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1919306	1810055G02Rik	RIKEN cDNA 1810055G02 gene	19	3758293	3767881	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1914955	1810058I24Rik	RIKEN cDNA 1810058I24 gene	6	35229645	35238574	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1924284	2510039O18Rik	RIKEN cDNA 2510039O18 gene	4	148025352	148031771	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1913701	2610528J11Rik	RIKEN cDNA 2610528J11 gene	4	118384195	118387414	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1925368	4930451I11Rik	RIKEN cDNA 4930451I11 gene	7	126429640	126430712	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1914896	4930522H14Rik	RIKEN cDNA 4930522H14 gene	4	109362534	109388494	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1914904	4930558C23Rik	RIKEN cDNA 4930558C23 gene	3	95293769	95310143	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1923109	4930568D16Rik	RIKEN cDNA 4930568D16 gene	2	35244230	35257741	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2685917	4930590J08Rik	RIKEN cDNA 4930590J08 gene	6	91879790	91927706	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2445137	6430571L13Rik	RIKEN cDNA 6430571L13 gene	9	107217839	107226882	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1923487	6430628N08Rik	RIKEN cDNA 6430628N08 gene	4	115747863	115756425	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2654705	9530068E07Rik	RIKEN cDNA 9530068E07 gene	11	52287255	52299550	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2685279	A3galt2	alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase)	4	128653051	128663091	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:3512453	A4galt	alpha 1,4-galactosyltransferase	15	83110923	83135930	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2143261	A4gnt	alpha-1,4-N-acetylglucosaminyltransferase	9	99494555	99504420	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2443020	A530016L24Rik	RIKEN cDNA A530016L24 gene	12	112455882	112466361	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2442684	A730046J19Rik	RIKEN cDNA A730046J19 gene	X	142936691	142949270	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1915008	Aadac	arylacetamide deacetylase	3	59939209	59947578	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2685281	Aadacl3	arylacetamide deacetylase like 3	4	144180341	144190326	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2685880	Aadacl4fm1	AADACL4 family member 1	4	144246392	144255923	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1197518	Aatk	apoptosis-associated tyrosine kinase	11	119898139	119937993	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:3043001	AB124611	cDNA sequence AB124611	9	21437472	21456629	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:99607	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	4	53030787	53159895	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:99606	Abca2	ATP-binding cassette, sub-family A (ABC1), member 2	2	25318715	25338552	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351617	Abca3	ATP-binding cassette, sub-family A (ABC1), member 3	17	24570997	24629178	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:109424	Abca4	ATP-binding cassette, sub-family A (ABC1), member 4	3	121838092	121973772	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2386607	Abca5	ATP-binding cassette, sub-family A (ABC1), member 5	11	110160195	110228542	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1923434	Abca6	ATP-binding cassette, sub-family A (ABC1), member 6	11	110067646	110142602	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351646	Abca7	ATP-binding cassette, sub-family A (ABC1), member 7	10	79832328	79851406	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2386846	Abca8a	ATP-binding cassette, sub-family A (ABC1), member 8a	11	109916460	109986804	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:1351668	Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b	11	109823016	109886671	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2386796	Abca9	ATP-binding cassette, sub-family A (ABC1), member 9	11	109991575	110059022	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2676312	Abca12	ATP-binding cassette, sub-family A (ABC1), member 12	1	71282249	71454069	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:2388707	Abca13	ATP-binding cassette, sub-family A (ABC1), member 13	11	9141942	9634259	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:3625331	Abca17	ATP-binding cassette, sub-family A (ABC1), member 17	17	24483233	24570042	GRCm39	-	Component	integral component of membrane (term ID: GO:0016021)
protein coding gene	MGI:97570	Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	5	8710077	8798575	GRCm39	+	Component	integral component of membrane (term ID: GO:0016021)
